beta,rho_mc,rho_mmca
0.0,0.0,1.3593954380788125e-07
0.01,0.0,1.52972191434217e-07
0.02,0.0,2.6616401284104563e-07
0.03,0.0,5.741624417008934e-07
0.04,0.0,0.019751179731581404
0.05,0.0002708000000000001,0.1350050822740772
0.06,0.14257299999999995,0.22800806247478703
0.07,0.2294774,0.3018021336989028
0.08,0.30779339999999994,0.3611776310490789
0.09,0.3631286,0.40979898013015725
0.1,0.4117412000000001,0.4502751170423211
0.11,0.45244100000000004,0.484463262165958
0.12,0.4850366000000001,0.5137065280649229
0.13,0.5152262000000001,0.5389947943984253
0.14,0.5388729999999999,0.561071612523598
0.15,0.5617237999999997,0.5805054544255818
0.16,0.5811658,0.5977379420084133
0.17,0.5982881999999998,0.6131173160816756
0.18,0.6140294000000001,0.626921798225518
0.19,0.6278462,0.6393763472812772
0.2,0.6400087999999998,0.650664835159297
0.21,0.6524092,0.6609390353528188
0.22,0.6629155999999999,0.6703253529221642
0.23,0.67148,0.6789299240753701
0.24,0.6795496,0.686842542456495
0.25,0.6886249999999999,0.6941396911552414
0.26,0.6960759999999999,0.7008869351283392
0.27,0.7022012000000001,0.7071408201305945
0.28,0.7088384000000002,0.7129503649265094
0.29,0.7142134000000001,0.7183582818638514
0.3,0.7196992000000002,0.7234019872663915
